w,w1,l21,l22,w2,FOM
1.0,2.5,7.3,6.3,1.0,2127.9187052452125
1.0,2.5,7.3,6.3,1.5,2132.0821860221254
1.0,2.5,7.3,6.3,2.0,2149.454658570865
1.0,2.5,7.3,6.3,2.5,2169.521023926469
1.0,2.5,7.3,6.3,3.0,2209.8842611939153
1.0,2.5,7.3,6.3,3.5,2315.638948546212
1.0,2.5,7.3,6.8,1.0,2055.0923701625197
1.0,2.5,7.3,6.8,1.5,2044.8595905416862
1.0,2.5,7.3,6.8,2.0,2050.5740344223227
1.0,2.5,7.3,6.8,2.5,2060.9849658248163
1.0,2.5,7.3,6.8,3.0,2092.4571243828586
1.0,2.5,7.3,6.8,3.5,2153.553723955083
1.0,2.5,7.3,7.3,1.0,1982.1381694290885
1.0,2.5,7.3,7.3,1.5,1979.337021104405
1.0,2.5,7.3,7.3,2.0,1982.7598574439078
1.0,2.5,7.3,7.3,2.5,1984.5826853430044
1.0,2.5,7.3,7.3,3.0,2001.0814373626954
1.0,2.5,7.3,7.3,3.5,2038.022410686633
1.0,3.0,6.3,6.3,1.0,2095.6290575390813
1.0,3.0,6.3,6.3,1.5,2137.057207258641
1.0,3.0,6.3,6.3,2.0,2176.3708613559756
1.0,3.0,6.3,6.3,2.5,2247.278957966336
1.0,3.0,6.3,6.3,3.0,2336.4915515753864
1.0,3.0,6.3,6.3,3.5,2486.1935811710996
1.0,3.0,6.3,6.8,1.0,2097.3375200107794
1.0,3.0,6.3,6.8,1.5,2130.599245135069
1.0,3.0,6.3,6.8,2.0,2168.2813864304308
1.0,3.0,6.3,6.8,2.5,2225.3766058482415
1.0,3.0,6.3,6.8,3.0,2320.3908207737304
1.0,3.0,6.3,6.8,3.5,2462.0874758494983
1.0,3.0,6.3,7.3,1.0,2124.6583572639624
1.0,3.0,6.3,7.3,1.5,2126.9890224440596
1.0,3.0,6.3,7.3,2.0,2159.380833334594
1.0,3.0,6.3,7.3,2.5,2198.9828105995794
1.0,3.0,6.3,7.3,3.0,2289.581338639883
1.0,3.0,6.3,7.3,3.5,2460.218721916478
1.0,3.0,6.8,6.3,1.0,2097.2859759679
1.0,3.0,6.8,6.3,1.5,2130.569156248771
1.0,3.0,6.8,6.3,2.0,2168.104131114812
1.0,3.0,6.8,6.3,2.5,2225.2025076178325
1.0,3.0,6.8,6.3,3.0,2320.2337694010525
1.0,3.0,6.8,6.3,3.5,2462.0570152356677
1.0,3.0,6.8,6.8,1.0,2058.632960523726
1.0,3.0,6.8,6.8,1.5,2060.269479257954
1.0,3.0,6.8,6.8,2.0,2095.697260560938
1.0,3.0,6.8,6.8,2.5,2133.7689536435137
1.0,3.0,6.8,6.8,3.0,2202.140423355364
1.0,3.0,6.8,6.8,3.5,2351.6669541412994
1.0,3.0,6.8,7.3,1.0,2037.9044854100691
1.0,3.0,6.8,7.3,1.5,2045.0086339978789
1.0,3.0,6.8,7.3,2.0,2055.5193915316677
1.0,3.0,6.8,7.3,2.5,2077.200491180553
1.0,3.0,6.8,7.3,3.0,2130.65087014823
1.0,3.0,6.8,7.3,3.5,2254.926955536513
1.0,3.0,7.3,6.3,1.0,2121.223924696785
1.0,3.0,7.3,6.3,1.5,2126.9979799991324
1.0,3.0,7.3,6.3,2.0,2159.411940393384
1.0,3.0,7.3,6.3,2.5,2198.660735641275
1.0,3.0,7.3,6.3,3.0,2283.6882093864606
1.0,3.0,7.3,6.3,3.5,2473.218685045757
1.0,3.0,7.3,6.8,1.0,2037.930562942708
1.0,3.0,7.3,6.8,1.5,2045.0732959018426
1.0,3.0,7.3,6.8,2.0,2055.5017464769844
1.0,3.0,7.3,6.8,2.5,2077.1995972598315
1.0,3.0,7.3,6.8,3.0,2131.687468085934
1.0,3.0,7.3,6.8,3.5,2254.256437395301
1.0,3.0,7.3,7.3,1.0,1975.759975962486
1.0,3.0,7.3,7.3,1.5,1966.7865411826308
1.0,3.0,7.3,7.3,2.0,1972.7481080416073
1.0,3.0,7.3,7.3,2.5,1988.0209883913408
1.0,3.0,7.3,7.3,3.0,2024.2224281795327
1.0,3.0,7.3,7.3,3.5,2105.079183750081
1.0,3.5,6.3,6.3,1.0,2045.544680189276
1.0,3.5,6.3,6.3,1.5,2112.4004707612767
1.0,3.5,6.3,6.3,2.0,2185.889539921677
1.0,3.5,6.3,6.3,2.5,2278.860501345454
1.0,3.5,6.3,6.3,3.0,2396.5960601369143
1.0,3.5,6.3,6.3,3.5,2498.1564238686765
1.0,3.5,6.3,6.8,1.0,2094.6065700265813
1.0,3.5,6.3,6.8,1.5,2137.764929417464
1.0,3.5,6.3,6.8,2.0,2194.6904338571994
1.0,3.5,6.3,6.8,2.5,2286.83904015825
1.0,3.5,6.3,6.8,3.0,2392.6570858449672
1.0,3.5,6.3,6.8,3.5,2603.9774132652656
1.0,3.5,6.3,7.3,1.0,2136.2418685619828
1.0,3.5,6.3,7.3,1.5,2166.256269064722
1.0,3.5,6.3,7.3,2.0,2203.9954539408172
1.0,3.5,6.3,7.3,2.5,2280.7311853560695
1.0,3.5,6.3,7.3,3.0,2414.9232044572555
1.0,3.5,6.3,7.3,3.5,2662.63960357479
1.0,3.5,6.8,6.3,1.0,2110.0229935451
1.0,3.5,6.8,6.3,1.5,2137.7332201057225
1.0,3.5,6.8,6.3,2.0,2194.6591761825052
1.0,3.5,6.8,6.3,2.5,2284.626219112062
1.0,3.5,6.8,6.3,3.0,2418.978054369032
1.0,3.5,6.8,6.3,3.5,2568.9632680818704
1.0,3.5,6.8,6.8,1.0,2060.216664532031
1.0,3.5,6.8,6.8,1.5,2082.7944106213713
1.0,3.5,6.8,6.8,2.0,2121.7007162734276
1.0,3.5,6.8,6.8,2.5,2190.486468243096
1.0,3.5,6.8,6.8,3.0,2302.3988185258813
1.0,3.5,6.8,6.8,3.5,2521.8833032094226
1.0,3.5,6.8,7.3,1.0,2032.5125120027747
1.0,3.5,6.8,7.3,1.5,2055.9309924241306
1.0,3.5,6.8,7.3,2.0,2071.563993146104
1.0,3.5,6.8,7.3,2.5,2129.279713187269
1.0,3.5,6.8,7.3,3.0,2224.6460549377844
1.0,3.5,6.8,7.3,3.5,2452.2522743326676
1.0,3.5,7.3,6.3,1.0,2136.228192854816
1.0,3.5,7.3,6.3,1.5,2166.132209349217
1.0,3.5,7.3,6.3,2.0,2203.7867825450253
1.0,3.5,7.3,6.3,2.5,2273.518451058424
1.0,3.5,7.3,6.3,3.0,2425.900889571437
1.0,3.5,7.3,6.3,3.5,2662.547374380928
1.0,3.5,7.3,6.8,1.0,2032.4656468508592
1.0,3.5,7.3,6.8,1.5,2055.9077634345244
1.0,3.5,7.3,6.8,2.0,2071.536451594377
1.0,3.5,7.3,6.8,2.5,2127.685547853166
1.0,3.5,7.3,6.8,3.0,2224.3552642867776
1.0,3.5,7.3,6.8,3.5,2453.4053366920007
